,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
182403,50350000,DE,IP-08_ZAU_0088_01-W0V-1,STELLANTIS,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,,E8*2007/46*0264*19,Z-B,DF077DB12,BC1ZAUCABA5,OPEL,INSIGNIA SPORTS TOURER,M1,M1,1,1610.0,1724.0,,136.0,2829.0,1605.0,1608.0,DIESEL,M,1496.0,90.0,,E8  28 29,,1.8,,,P,2021,2021-11-08,5.2,
182456,50350053,DE,,,AA-IVA,AA-IVA,,,51BY/52BY,,,BMW,223D XDRIVE,M1,M1,1,1751.0,,,,,,,DIESEL,H,1995.0,145.0,,,,,,,P,2021,2021-09-21,,
182457,50350054,DE,,,AA-IVA,AA-IVA,,,CHALLENGER,,,DODGE,CHALLENGER R/T SCAT PACK,M1,M1,1,2032.0,,,,,,,PETROL,M,6417.0,362.0,,,,,,,P,2021,2021-06-15,,
183234,50350831,DE,,,AA-IVA,AA-IVA,,,G01,51BZ,,BMW,X3 SDRIVE 18D,M1,M1,1,1770.0,,,,,,,DIESEL,H,1995.0,110.0,,,,,,,P,2021,2021-01-14,,
183345,50350942,DE,,,AA-IVA,AA-IVA,,,G20,51CD,51CD,BMW,330D,M1,M1,1,1780.0,,,,,,,DIESEL,H,2996.0,210.0,,,,,,,P,2021,2021-10-27,,
183567,50351164,DE,,,AA-IVA,AA-IVA,,,G42,51CM,,BMW,M2 40I XDRIVE,M1,M1,1,1795.0,,,,,,,PETROL,M,2998.0,285.0,,,,,,,P,2021,2021-01-18,,
186789,50354386,DE,,,AA-IVA,AA-IVA,,,G01,51DP,,BMW,X3 XDRIVE 30I,M1,M1,1,1795.0,,,,,,,PETROL,H,1997.0,185.0,,,,,,,P,2021,2021-01-14,,
187123,50354720,DE,,,AA-IVA,AA-IVA,,,G02,51DT,,BMW,X4 M 40 I,M1,M1,1,1900.0,,,,,,,PETROL,M,2979.0,245.0,,,,,,,P,2021,2021-05-17,,
187456,50355053,DE,,,AA-IVA,AA-IVA,,,U11,51EE,51EE,BMW,X1 XDRIVE 20I,M1,M1,1,1805.0,,,,,,,PETROL,M,1998.0,150.0,,,,,,,P,2021,2021-09-06,,
188578,50356175,DE,IP-MEB31AZ_A0_0957-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2018/858*00006*01,FZ,XBL1EH1,HE1HE1G1Z01RT011A190GAAEM0O,AUDI,Q4 35 E-TRON,M1,M1,1,1965.0,2089.0,0.0,0.0,2770.0,1574.0,1590.0,ELECTRIC,E,,70.0,158.0,,,,,,P,2021,2021-06-24,,
